url,taste,roast,origin
https://beanbox.com/215,Caramel,Light,Guatemalan
https://beanbox.com/215,Fruit,Light,Guatemalan
https://beanbox.com/216,Fruit,Light,Kenyan
https://beanbox.com/216,Orange,Light,Kenyan
https://beanbox.com/216,Stone Fruit,Light,Kenyan
https://beanbox.com/217,Black Currant,Light,Costa Rican
https://beanbox.com/217,Blackberry,Light,Costa Rican
https://beanbox.com/217,Chocolate,Light,Costa Rican
https://beanbox.com/218,Caramel,Dark,
https://beanbox.com/218,Molasses,Dark,
https://beanbox.com/218,Nutty,Dark,
https://beanbox.com/219,Apple,,
https://beanbox.com/219,Chocolate,,
https://beanbox.com/219,Fudge,,
https://beanbox.com/220,Chocolate,Medium,Colombian
https://beanbox.com/220,Orange,Medium,Colombian
https://beanbox.com/220,Spice,Medium,Colombian
https://beanbox.com/221,Almond,Medium,Peruvian
https://beanbox.com/221,Chocolate,Medium,Peruvian
https://beanbox.com/221,Floral,Medium,Peruvian
https://beanbox.com/222,Cherry,Light,Nicaraguan
https://beanbox.com/222,Citrus,Light,Nicaraguan
https://beanbox.com/222,Plum,Light,Nicaraguan
https://beanbox.com/223,Cherry,Light,Ethiopian
https://beanbox.com/223,Fruit,Light,Ethiopian
https://beanbox.com/223,Peach,Light,Ethiopian
https://beanbox.com/225,Cocoa,Light,Ethiopian
https://beanbox.com/225,Fruit,Light,Ethiopian
https://beanbox.com/225,Peach,Light,Ethiopian
https://beanbox.com/226,Chocolate,Dark,
https://beanbox.com/226,Spice,Dark,
https://beanbox.com/226,Toast,Dark,
https://beanbox.com/227,Fruit,Medium,Philippines
https://beanbox.com/227,Oak,Medium,Philippines
https://beanbox.com/228,Caramel,,Hawaiian
https://beanbox.com/228,Chocolate,,Hawaiian
https://beanbox.com/228,Cocoa,,Hawaiian
https://beanbox.com/229,Apricot,Light,Colombian
https://beanbox.com/229,Cherry,Light,Colombian
https://beanbox.com/229,Chocolate,Light,Colombian
https://beanbox.com/231,Chocolate,Light,Kenyan
https://beanbox.com/231,Orange,Light,Kenyan
https://beanbox.com/232,Cherry,Light,Costa Rican
https://beanbox.com/232,Cinnamon,Light,Costa Rican
https://beanbox.com/232,Dark Chocolate,Light,Costa Rican
https://beanbox.com/233,Coconut,Medium,Hawaiian
https://beanbox.com/233,Nutty,Medium,Hawaiian
https://beanbox.com/233,Passion Fruit,Medium,Hawaiian
https://beanbox.com/234,Cedar,Dark,
https://beanbox.com/234,Toast,Dark,
https://beanbox.com/236,Blackberry,Light,Ethiopian
https://beanbox.com/236,Blueberry,Light,Ethiopian
https://beanbox.com/236,Lime,Light,Ethiopian
https://beanbox.com/237,Chocolate,Medium,Burundi
https://beanbox.com/237,Citrus,Medium,Burundi
https://beanbox.com/238,Lemon,Medium,Colombian
https://beanbox.com/238,Peach,Medium,Colombian
https://beanbox.com/241,Chocolate,Medium,
https://beanbox.com/241,Jasmine,Medium,
https://beanbox.com/242,Caramel,Medium,
https://beanbox.com/242,Chocolate,Medium,
https://beanbox.com/242,Fruit,Medium,
https://beanbox.com/243,Caramel,Medium,
https://beanbox.com/243,Chocolate,Medium,
